available,category,image,link,price,shop,sku,title
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/99/93/19399/images/33290/33290.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i5-13400-box-bx8071513400/,19 670,28bit.ru,20036,Процессор Intel Core i5 13400 BOX BX8071513400
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/59/56/5659/images/10259/10259.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i7-10700kf-oem-cm8070104282437/,19 750,28bit.ru,5660,Процессор Intel Core i7 10700KF OEM CM8070104282437
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/79/56/5679/images/10276/10276.170x0.jpeg,https://28bit.ru/protsessor-amd-ryzen-7-5800x-box-100-100000063wof/,20 210,28bit.ru,5680,Процессор AMD Ryzen 7 5800X BOX 100-100000063WOF
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/38/56/5638/images/10483/10483.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i7-10700k-oem-cm8070104282436srh72/,20 240,28bit.ru,5639,Процессор Intel Core i7 10700K OEM CM8070104282436
1,Процессоры,https://28bit.ru/wa-data/public/shop/products/99/16/11699/images/26919/26919.170x0.jpeg,https://28bit.ru/protsessor-intel-core-i7-11700kf-oem-cm8070804488630/,20 580,28bit.ru,11994,Процессор Intel Core i7 11700KF OEM CM8070804488630
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/13/76/17613/images/30260/30260.170x0.jpeg,https://28bit.ru/videokarta-afox-af210-512d3l3-v2-geforce-gt-210-512mb/,1 770,28bit.ru,18219,Видеокарта AFox (AF210-512D3L3-V2) GeForce GT 210 512MB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/30/25/12530/images/27717/27717.170x0.jpeg,https://28bit.ru/videokarta-sinotex-ninja-nk21np013f-geforce-gt-210-1gb/,2 260,28bit.ru,12825,Видеокарта Sinotex Ninja (NK21NP013F) GeForce GT 210 1GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/46/21/12146/images/27341/27341.170x0.jpeg,https://28bit.ru/videokarta-sinotex-ninja-akr523013f-radeon-r5-230-1gb/,2 460,28bit.ru,12441,Видеокарта Sinotex Ninja (AKR523013F) Radeon R5 230 1GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/25/25/12525/images/27712/27712.170x0.jpeg,https://28bit.ru/videokarta-afox-af610-2048d3l7-v5-geforce-gt-610-2-gb/,3 100,28bit.ru,12820,Видеокарта AFox (AF610-2048D3L7-V5) GeForce GT 610 2 GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/27/25/12527/images/27714/27714.170x0.jpeg,https://28bit.ru/videokarta-afox-af710-2048d3l5-geforce-gt-710-2-gb/,3 820,28bit.ru,12822,Видеокарта AFox (AF710-2048D3L5) GeForce GT 710 2 GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/62/07/10762/images/12977/12977.170x0.png,https://28bit.ru/videokarta-kfa2-71gpf4hi00gk-geforce-gt-710-2gb/,3 950,28bit.ru,11053,Видеокарта KFA2 (71GPF4HI00GK) GeForce GT 710 2GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/84/24/12484/images/27675/27675.170x0.jpeg,https://28bit.ru/videokarta-afox-af730-4096d3l6-geforce-gt-730-4gb/,4 350,28bit.ru,12779,Видеокарта AFox (AF730-4096D3L6) GeForce GT 730 4GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/65/21/12165/images/27360/27360.170x0.jpeg,https://28bit.ru/videokarta-sinotex-ninja-nh74np025f-geforce-gt740-2gb/,5 230,28bit.ru,12460,Видеокарта Sinotex Ninja (NH74NP025F) GeForce GT740 2GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/12/76/17612/images/30259/30259.170x0.jpeg,https://28bit.ru/videokarta-afox-afr7350-2048d5h4-v3-radeon-r7-350-2gb/,5 240,28bit.ru,18218,Видеокарта AFox (AFR7350-2048D5H4-V3) Radeon R7 350 2GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/85/24/12485/images/27676/27676.170x0.jpeg,https://28bit.ru/videokarta-afox-af740-4096d3l3-geforce-gt-740-4gb/,5 460,28bit.ru,12780,Видеокарта AFox (AF740-4096D3L3) GeForce GT 740 4GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/09/76/17609/images/30256/30256.170x0.jpeg,https://28bit.ru/videokarta-afox-af740-2048d5l4-geforce-gt-740-2gb-low-profile/,5 460,28bit.ru,18215,Видеокарта AFox (AF740-2048D5L4) GeForce GT 740 2GB Low Profile
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/48/21/12148/images/27343/27343.170x0.jpeg,https://28bit.ru/videokarta-sinotex-ninja-nk74np045f-geforce-gt740-4gb/,5 900,28bit.ru,12443,Видеокарта Sinotex Ninja (NK74NP045F) GeForce GT740 4GB
1,Видеокарты,https://28bit.ru/wa-data/public/shop/products/34/40/14034/images/29144/29144.170x0.jpeg,https://28bit.ru/videokarta-asus-gt730-sl-2gd5-brk-geforce-gt-730-2gb-lp/,6 410,28bit.ru,14606,Видеокарта ASUS (GT730-SL-2GD5-BRK) GeForce GT 730 2GB LP
